Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,within_18_per,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y59,SOUTH EAST COMMISSIONING REGION,Other - Medical Services,79166,50494,0.64,63.78,12.70655022,41.74034549,1969,15,232
Y59,SOUTH EAST COMMISSIONING REGION,Other - Mental Health Services,383,315,0.82,82.25,7.205882353,27.12,0,0,0
Y59,SOUTH EAST COMMISSIONING REGION,Other - Paediatric Services,34435,22330,0.65,64.85,12.70375458,41.56024845,1115,14,146
Y59,SOUTH EAST COMMISSIONING REGION,Other - Surgical Services,79822,43577,0.55,54.59,15.71253823,49.82301124,5480,220,1598
Y59,SOUTH EAST COMMISSIONING REGION,Other - Other Services,28715,19556,0.68,68.10,11.68963964,42.72162162,1151,11,181
Y59,SOUTH EAST COMMISSIONING REGION,Total,1130666,662207,0.59,58.57,14.42231362,45.83358999,52834,1316,12262
Y60,MIDLANDS COMMISSIONING REGION,General Surgery Service,95216,50068,0.53,52.58,16.84562842,47.31448649,4614,18,804
Y60,MIDLANDS COMMISSIONING REGION,Urology Service,81591,44229,0.54,54.21,16.21521113,45.44365354,3169,4,361
Y60,MIDLANDS COMMISSIONING REGION,Trauma and Orthopaedic Service,180461,98073,0.54,54.35,16.20862576,46.32368947,7955,39,1400
Y60,MIDLANDS COMMISSIONING REGION,Ear Nose and Throat Service,132735,61192,0.46,46.10,19.94487179,51.55774424,10062,21,1583
Y60,MIDLANDS COMMISSIONING REGION,Ophthalmology Service,126789,80932,0.64,63.83,12.43151463,40.26743764,2631,17,250
Y60,MIDLANDS COMMISSIONING REGION,Oral Surgery Service,64228,29794,0.46,46.39,19.58050222,50.26754639,4300,4,689
Y60,MIDLANDS COMMISSIONING REGION,Neurosurgical Service,8441,4599,0.54,54.48,16.09487179,46.22315789,393,1,69
Y60,MIDLANDS COMMISSIONING REGION,Plastic Surgery Service,11380,6227,0.55,54.72,15.57971014,47.36041667,561,4,76
Y60,MIDLANDS COMMISSIONING REGION,Cardiothoracic Surgery Service,1283,910,0.71,70.93,10.47674419,39.39333333,34,1,5
Y60,MIDLANDS COMMISSIONING REGION,General Internal Medicine Service,8773,5526,0.63,62.99,12.79402516,35.80969697,101,0,1
Y60,MIDLANDS COMMISSIONING REGION,Gastroenterology Service,78626,46513,0.59,59.16,14.15077821,42.57264476,2190,17,354
Y60,MIDLANDS COMMISSIONING REGION,Cardiology Service,73146,41847,0.57,57.21,15.08369803,42.51359477,1708,0,181
Y60,MIDLANDS COMMISSIONING REGION,Dermatology Service,69860,42175,0.60,60.37,12.98333333,42.7933222,1832,6,204
Y60,MIDLANDS COMMISSIONING REGION,Respiratory Medicine Service,45961,27023,0.59,58.80,14.35255921,47.11637681,2485,5,465
Y60,MIDLANDS COMMISSIONING REGION,Neurology Service,34599,19648,0.57,56.79,15.23925339,41.82293629,740,2,105
Y60,MIDLANDS COMMISSIONING REGION,Rheumatology Service,28156,18686,0.66,66.37,11.35170893,38.34897778,428,0,24
Y60,MIDLANDS COMMISSIONING REGION,Elderly Medicine Service,3466,2846,0.82,82.11,7.277173913,28.36,12,0,0
Y60,MIDLANDS COMMISSIONING REGION,Gynaecology Service,110585,59166,0.54,53.50,16.48487863,45.97533937,4267,6,510
